datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time,inf
1957:01,3.9333334,27.776667,2.96,3.0799999,3.4200001,279.30469,10149,1957q1,
1957:02,4.0999999,28.013334,3,3.29,3.6500001,279.02371,10904,1957q2,.85203755
1957:03,4.2333331,28.263334,3.47,3.53,4.0700002,278.50879,11231,1957q3,.89243215
1957:04,4.9333334,28.4,2.98,3.04,3.1800001,280.57959,11075,1957q4,.48354289
1958:01,6.3000002,28.736666,1.2,1.3,1.84,281.53979,10973,1958q1,1.185444
1958:02,7.3666668,28.93,.93000001,.82999998,1.23,281.11111,11325.3,1958q2,.67278016
1958:03,7.3333335,28.913334,1.76,2.4400001,3.05,280.3284,11734.1,1958q3,-.057609443
1958:04,6.3666668,28.943333,2.4200001,2.77,3.29,280.37991,12080.1,1958q4,.10375413
1959:01,5.8333335,28.993334,2.8,2.8,3.6099999,281.27081,12223,1959q1,.17275532
1959:02,5.0999999,29.043333,3.3900001,3.21,4.0700002,281.25369,12869,1959q2,.17245081
1959:03,5.2666669,29.193333,3.76,4.04,5,280.37039,13680,1959q3,.51646835
1959:04,5.5999999,29.370001,3.99,4.4899998,5.1399999,279.84451,13819,1959q4,.60516614
1960:01,5.1333332,29.396667,3.8399999,3.3099999,4.02,280.58569,15162,1960q1,.09079551
1960:02,5.2333331,29.573334,3.3199999,2.46,3.3599999,280.26761,15364,1960q2,.60097378
1960:03,5.5333333,29.59,2.5999999,2.48,3.0699999,281.27151,16239,1960q3,.056356218
1960:04,6.2666669,29.780001,1.98,2.25,2.8599999,280.73709,17026,1960q4,.64211065
1961:01,6.8000002,29.84,2.02,2.3900001,2.8800001,279.75,17959,1961q1,.20147571
1961:02,7,29.83,1.73,2.3299999,3.0599999,278.98001,18695,1961q2,-.033512831
1961:03,6.7666669,29.946667,1.88,2.28,3.0599999,281.22,19424,1961q3,.39110559
1961:04,6.1999998,29.99,2.3299999,2.5999999,3.1800001,280.95999,20900,1961q4,.14470075
1962:01,5.6333332,30.106667,2.8499999,2.72,3.0599999,281.52979,21428,1962q1,.38901898
1962:02,5.5333333,30.219999,2.6800001,2.73,3.03,280.83011,21769,1962q2,.3764374
1962:03,5.5666666,30.306667,2.9000001,2.78,3.0599999,280.09009,21907,1962q3,.28679025
1962:04,5.5333333,30.379999,2.9300001,2.8699999,3.01,280.33011,22412,1962q4,.24196601
1963:01,5.7666669,30.476667,2.98,2.8900001,3.03,280.06009,23150,1963q1,.31819698
1963:02,5.7333331,30.533333,2.99,2.99,3.2,280.01981,24488,1963q2,.18593051
1963:03,5.5,30.719999,3.48,3.3800001,3.5699999,279.76981,25571,1963q3,.61135316
1963:04,5.5666666,30.803333,3.3800001,3.52,3.8099999,279.64969,26867,1963q4,.27126944
1964:01,5.4666667,30.93,3.4300001,3.54,3.9100001,279.81009,27933,1964q1,.41121206
1964:02,5.1999998,30.98,3.5,3.48,3.8299999,279.41971,29237,1964q2,.16165288
1964:03,5,31.049999,3.45,3.53,3.8399999,278.34009,29905,1964q3,.22595124
1964:04,4.9666667,31.193333,3.8499999,3.8399999,4.02,279.06009,30721,1964q4,.46162137
1965:01,4.9000001,31.290001,4.04,3.9300001,4.0599999,279.23999,31699,1965q1,.30990034
1965:02,4.6666665,31.49,4.04,3.8,3.99,279.23001,32437,1965q2,.63917816
1965:03,4.3666668,31.583334,4.0100002,3.9200001,4.1999998,279.66971,33475,1965q3,.29639313
1965:04,4.0999999,31.75,4.3200002,4.3800001,4.7199998,280.20999,33558,1965q4,.52770245
1966:01,3.8666666,32.046665,4.6500001,4.5900002,4.9699998,279.51981,35539.199,1966q1,.93437856
1966:02,3.8333333,32.336666,5.1700001,4.5,4.9699998,278.98001,37753.5,1966q2,.90493321
1966:03,3.7666667,32.616665,5.4000001,5.3699999,5.8200002,278.92969,39148.699,1966q3,.86588633
1966:04,3.7,32.883335,5.4000001,4.96,5.1999998,279.0098,40025.602,1966q4,.81758887
1967:01,3.8333333,32.966667,4.5300002,4.2600002,4.3499999,279.6272,42074,1967q1,.25341731
1967:02,3.8333333,33.166668,3.98,3.54,4.48,279.11719,43295,1967q2,.60667568
1967:03,3.8,33.5,3.99,4.4200001,5.2399998,278.36938,45546,1967q3,1.0050212
1967:04,3.9000001,33.866665,4.5100002,4.9699998,5.71,240.62981,47540,1967q4,1.094522
1968:01,3.7333333,34.200001,5.0500002,5.1700001,5.5799999,239.9718,49302.602,1968q1,.98425955
1968:02,3.5666666,34.533333,6.0700002,5.52,5.98,238.46201,51317.602,1968q2,.97465515
1968:03,3.5333333,35,5.7800002,5.1900001,5.4499998,238.7395,53237.102,1968q3,1.3513528
1968:04,3.4000001,35.433334,6.02,5.96,6.1900001,238.4157,57507.602,1968q4,1.2380981
1969:01,3.4000001,35.866665,6.79,6.02,6.3400002,239.1671,57632,1969q1,1.2229459
1969:02,3.4333334,36.433334,8.8999996,6.4400001,7.04,238.95,60612.398,1969q2,1.5799335
1969:03,3.5666666,36.933334,9.1499996,7.0900002,7.8200002,238.39999,63086.898,1969q3,1.3723695
1969:04,3.5666666,37.5,8.9700003,7.8200002,8.1700001,239.73,66786,1969q4,1.5342932
1970:01,4.1666665,38.099998,7.7600002,6.6300001,6.9699998,240.58,69527,1970q1,1.599996
1970:02,4.7666669,38.633335,7.5999999,6.6799998,7.5500002,239.77,71738,1970q2,1.3998338
1970:03,5.1666665,39.033333,6.29,6.1199999,6.73,238.53,74777,1970q3,1.0353694
1970:04,5.8333335,39.599998,4.9000001,4.8699999,5,239.06,76524,1970q4,1.451748
1971:01,5.9333334,39.933334,3.71,3.3800001,3.6900001,241.87,77842,1971q1,.8417573
1971:02,5.9000001,40.299999,4.9099998,4.75,5.6399999,241.87,79555,1971q2,.91819251
1971:03,6.0333333,40.700001,5.5500002,4.6900001,5.4099998,246.94,81698,1971q3,.99255961
1971:04,5.9333334,41,4.1399999,4.0100002,4.5999999,252.66,83062,1971q4,.73709887
1972:01,5.7666669,41.333332,3.8299999,3.73,4.6700001,261.81,87117,1972q1,.81300503
1972:02,5.6999998,41.599998,4.46,3.9100001,4.9299998,256.91,89731,1972q2,.64516068
1972:03,5.5666666,41.933334,4.8699999,4.6599998,5.52,244.10001,93788,1972q3,.80128819
1972:04,5.3666668,42.366665,5.3299999,5.0700002,5.52,234.48,97757,1972q4,1.0333797
1973:01,4.9333334,43.033333,7.0900002,6.0900002,6.8499999,247.24001,104568,1973q1,1.5735672
1973:02,4.9333334,43.933334,8.4899998,7.1900001,7.3099999,257.62,109319,1973q2,2.0914056
1973:03,4.8000002,44.799999,10.78,8.29,8.3100004,241.83,113518,1973q3,1.9726818
1973:04,4.7666669,45.933334,9.9499998,7.4499998,7.27,231.74001,120420,1973q4,2.5297658
1974:01,5.1333332,47.299999,9.3500004,7.96,7.7600002,234.06,123283,1974q1,2.9753227
1974:02,5.1999998,48.566666,11.93,7.9000001,8.6700001,239.02,131736,1974q2,2.6779418
1974:03,5.6333332,49.933334,11.34,8.0600004,8.8699999,231.64999,137890,1974q3,2.8140056
1974:04,6.5999999,51.466667,8.5299997,7.1500001,7.3099999,232.94,141613,1974q4,3.07076
1975:01,8.2666664,52.566666,5.54,5.4899998,6.1100001,241.8,141887,1975q1,2.1373026
1975:02,8.8666668,53.200001,5.5500002,5.3400002,6.29,228.03,146444,1975q2,1.2048227
1975:03,8.4666662,54.266666,6.2399998,6.4200001,7.75,208.35001,149751,1975q3,2.0050106
1975:04,8.3000002,55.266666,5.1999998,5.4400001,6.5999999,202.21001,154088,1975q4,1.8427519
1976:01,7.7333331,55.900002,4.8400002,5,6.21,194.28,159302,1976q1,1.1459622
1976:02,7.5666666,56.400002,5.48,5.4099998,6.52,176.39999,164546,1976q2,.89445436
1976:03,7.7333331,57.299999,5.25,5.0799999,5.8400002,172.72,169524,1976q3,1.5957406
1976:04,7.7666669,58.133335,4.6500001,4.3499999,4.8899999,167.84,172022,1976q4,1.4543384
1977:01,7.5,59.200001,4.6900001,4.5999999,5.5,171.7408,179402,1977q1,1.8348606
1977:02,7.1333332,60.233334,5.3899999,5.02,5.8000002,171.914,183207,1977q2,1.7454946
1977:03,6.9000001,61.066666,6.1399999,5.8099999,6.5300002,174.3139,187162,1977q3,1.3835064
1977:04,6.6666665,61.966667,6.5599999,6.0700002,6.96,185.4575,191997,1977q4,1.4738016
1978:01,6.3333335,63.033333,6.79,6.29,7.3099999,190.54671,197835,1978q1,1.7213539
1978:02,6,64.466667,7.5999999,6.73,8.0900002,183.7244,201639,1978q2,2.2739308
1978:03,6.0333333,65.966667,8.4499998,7.8499999,8.6400003,195.95,206879,1978q3,2.3267839
1978:04,5.9000001,67.5,10.03,9.0799999,10.3,198.6109,210785,1978q4,2.3244054
1979:01,5.8666668,69.199997,10.09,9.4799995,10.25,203.78,215043,1979q1,2.5185139
1979:02,5.6999998,71.400002,10.29,9.0600004,9.5699997,211.19,219875,1979q2,3.1791975
1979:03,5.8666668,73.699997,11.43,10.26,10.84,219.66,223217,1979q3,3.221282
1979:04,5.9666667,76.033333,13.78,12.04,11.98,220.07001,226526,1979q4,3.1659918
1980:01,6.3000002,79.033333,17.190001,15.2,15.82,220.4511,231999.8,1980q1,3.9456379
1980:02,7.3333335,81.699997,9.4700003,7.0700002,8.1599998,233.5943,236053,1980q2,3.3741004
1980:03,7.6666665,83.23333,10.87,10.27,11.52,240.12331,243962.91,1980q3,1.8767844
1980:04,7.4000001,85.566666,18.9,15.49,14.88,234.5937,249946,1980q4,2.8033671
1981:01,7.4333334,87.933334,14.7,13.36,13.71,223.19,254559.91,1981q1,2.765877
1981:02,7.4000001,89.76667,19.1,14.73,14.86,197.38,255595.59,1981q2,2.0849156
1981:03,7.4000001,92.26667,15.87,14.7,16.52,181.46001,261035.2,1981q3,2.7849979
1981:04,8.2333336,93.76667,12.37,10.85,12.85,190.3329,264012.19,1981q4,1.6257225
1982:01,8.833333,94.599998,14.68,12.68,13.95,180.5,267124.91,1982q1,.88872546
1982:02,9.4333334,95.966667,14.15,12.47,14.07,175.63,271720.59,1982q2,1.4446815
1982:03,9.8999996,97.633331,10.31,7.9200001,10.85,171.2,273228.81,1982q3,1.7367115
1982:04,10.666667,97.933334,8.9499998,7.9400001,8.9099998,161.60001,275198.59,1982q4,.30727524
1983:01,10.366667,98,8.7700005,8.3500004,9.04,149,278451.19,1983q1,.068072483
1983:02,10.133333,99.133331,8.9799995,8.79,9.6599998,154.8,281202.31,1983q2,1.1564605
1983:03,9.3666668,100.1,9.4499998,9,10.16,149.86,285152.19,1983q3,.97511822
1983:04,8.5333338,101.1,9.4700003,9,10.11,143.38,286365.69,1983q4,.99900103
1984:01,7.8666668,102.53333,9.9099998,9.5200005,10.59,145.57001,292292.91,1984q1,1.4177393
1984:02,7.4333334,103.5,11.06,9.8699999,12.08,137.7,298527.81,1984q2,.94278336
1984:03,7.4333334,104.4,11.3,10.37,11.58,125.63,303875.69,1984q3,.86956668
1984:04,7.3000002,105.3,8.3800001,8.0600004,9.3299999,118.61,308001.59,1984q4,.86207044
1985:01,7.2333331,106.26667,8.5799999,8.5200005,9.8599997,112.53,316702.19,1985q1,.9180125
1985:02,7.3000002,107.23333,7.5300002,6.9499998,7.8000002,128.08,320064.19,1985q2,.9096545
1985:03,7.1999998,107.9,7.9200001,7.0999999,8.0699997,136.42,324477.19,1985q3,.62170202
1985:04,7.0333333,109,8.2700005,7.0999999,7.6700001,144.47,332086.5,1985q4,1.019461
1986:01,7.0333333,109.56667,7.48,6.5599999,7.0300002,146.74001,332099,1986q1,.51987672
1986:02,7.1666665,109.03333,6.9200001,6.21,6.73,150.85001,337871.41,1986q2,-.48676559
1986:03,6.9666667,109.7,5.8899999,5.21,5.77,146.98,341120.69,1986q3,.61143148
1986:04,6.8333335,110.46667,6.9099998,5.5300002,5.8699999,143.92999,343613.91,1986q4,.698879
1987:01,6.5999999,111.8,6.1300001,5.5900002,6.0300002,159.23,344760.41,1987q1,1.2070029
1987:02,6.2666669,113.06667,6.73,5.6700001,6.8000002,162.88,346317.41,1987q2,1.1329719
1987:03,6,114.26667,7.2199998,6.4000001,7.6700001,164.46001,355160.31,1987q3,1.0613248
1987:04,5.8333335,115.33334,6.77,5.77,7.1700001,182.88,363021.31,1987q4,.93348801
1988:01,5.6999998,116.23333,6.5799999,5.6999998,6.71,183.3,371485.59,1988q1,.78034151
1988:02,5.4666667,117.56667,7.5100002,6.46,7.4899998,177.67999,373538.81,1988q2,1.1471201
1988:03,5.4666667,119,8.1899996,7.2399998,8.0900002,168.39999,382391.5,1988q3,1.2191674
1988:04,5.3333335,120.3,8.7600002,8.0699997,8.9899998,182.58,389289.19,1988q4,1.0924395
1989:01,5.1999998,121.66666,9.8500004,8.8199997,9.5699997,171.34,400800,1989q1,1.1360441
1989:02,5.2333331,123.63333,9.5299997,8.1499996,8.4399996,155.3,400100.69,1989q2,1.6164389
1989:03,5.2333331,124.6,9.0200005,7.75,8.2200003,157.14999,410036.41,1989q3,.78188235
1989:04,5.3666668,125.86667,8.4499998,7.6300001,7.7199998,159.64999,422579.09,1989q4,1.0165893
1990:01,5.3000002,128.03334,8.2799997,7.9000001,8.3500004,162.45,424834.19,1990q1,1.7214023
1990:02,5.3333335,129.3,8.29,7.73,8.1000004,171.03,439094.69,1990q2,.98932248
1990:03,5.6999998,131.53334,8.1999998,7.3600001,7.7600002,187.94,446521.19,1990q3,1.7272524
1990:04,6.1333332,133.76666,7.3099999,6.7399998,7.0500002,192.19,450219.81,1990q4,1.6979133
1991:01,6.5999999,134.76666,6.1199999,5.9099998,6.4000001,182.14,462847.19,1991q1,.7475704
1991:02,6.8333335,135.56667,5.9000001,5.5700002,6.3600001,164.97,465150.09,1991q2,.5936209
1991:03,6.8666668,136.60001,5.4499998,5.2199998,5.5700002,172.64999,469224.09,1991q3,.76223785
1991:04,7.0999999,137.73334,4.4299998,4.0700002,4.3800001,182.72,475944.41,1991q4,.8296715
1992:01,7.3666668,138.66667,3.98,4.04,4.6300001,172.38,477201.09,1992q1,.67763865
1992:02,7.5999999,139.73334,3.76,3.6600001,4.1700001,185.50999,481668.41,1992q2,.76923001
1992:03,7.6333332,140.8,3.22,2.9100001,3.1800001,184.64999,482419.69,1992q3,.76335806
1992:04,7.3666668,142.03334,2.9200001,3.22,3.71,155.10001,480767.81,1992q4,.87594986
1993:01,7.1333332,143.06667,3.0699999,2.95,3.3299999,146.17,489538.81,1993q1,.72752297
1993:02,7.0666666,144.10001,3.04,3.0699999,3.54,150.82001,483332.5,1993q2,.72227895
1993:03,6.8000002,144.76666,3.0899999,2.95,3.3599999,152.48,482328.09,1993q3,.46263459
1993:04,6.6333332,145.96666,2.96,3.0599999,3.6099999,149.13,481369.69,1993q4,.82891804
1994:01,6.5666666,146.7,3.3399999,3.5,4.3200002,149.19,486649,1994q1,.50240064
1994:02,6.1999998,147.53334,4.25,4.1399999,5.27,152.62,489262,1994q2,.56805968
1994:03,6,148.89999,4.73,4.6199999,5.7600002,156.61,492229,1994q3,.92633533
1994:04,5.6333332,149.76666,5.4499998,5.5999999,7.1399999,155.87,491944,1994q4,.58204752
1995:01,5.4666667,150.86667,5.98,5.73,6.4299998,160.02,492390,1995q1,.73447996
1995:02,5.6666665,152.10001,6,5.4699998,5.6399999,159.48,493974,1995q2,.8175016
1995:03,5.6666665,152.86667,5.8000002,5.2800002,5.6199999,155.89999,499014,1995q3,.50405163
1995:04,5.5666666,153.7,5.5999999,5.1399999,5.3099999,154.05,501389,1995q4,.54513407
1996:01,5.5333333,155.06667,5.3099999,4.96,5.3400002,152.71001,503903,1996q1,.88917941
1996:02,5.5,156.39999,5.27,5.0900002,5.8099999,154.16,509525,1996q2,.85984194
1996:03,5.2666669,157.3,5.3000002,5.0900002,5.8299999,155.92999,510978,1996q3,.57545346
1996:04,5.3333335,158.66667,5.29,4.9099998,5.4699998,166.39,517045,1996q4,.86882943
1997:01,5.2333331,159.63333,5.3899999,5.1399999,5.8000002,160.96001,520537,1997q1,.60923916
1997:02,5,160,5.5599999,4.9299998,5.6900001,164.49001,520930,1997q2,.22969432
1997:03,4.8666668,160.8,5.54,4.9499998,5.52,160.13,519672,1997q3,.50000191
1997:04,4.6666665,161.66667,5.5,5.1599998,5.5300002,165.97,523638,1997q4,.53897303
1998:01,4.6333332,162,5.4899998,5.0300002,5.3899999,166.19,517862,1998q1,.20618242
1998:02,4.4000001,162.53334,5.5599999,4.98,5.4099998,165.03999,511371,1998q2,.3292225
1998:03,4.5333333,163.36667,5.5100002,4.6100001,4.71,168.23,513628,1998q3,.51271218
1998:04,4.4333334,164.13333,4.6799998,4.3899999,4.52,167.08,515037,1998q4,.46928948
1999:01,4.3000002,164.73334,4.8099999,4.4400001,4.7800002,162.13,508639,1999q1,.36556017
1999:02,4.2666669,165.96666,4.7600002,4.5700002,5.0999999,159.5,509767,1999q2,.74867791
1999:03,4.2333331,167.2,5.2199998,4.6799998,5.25,162.47,506001,1999q3,.74312359
1999:04,4.0666666,168.43333,5.3000002,5.1999998,5.8400002,161.32001,506428,1999q4,.73764199
