datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time,inf,lpunew,inf_a,dinf,dinfa,infpct,dinfpct,dlhur,lhura,yq4,yr,lgdpj,dlgdpj
1957:01,3.9333334,27.776667,2.96,3.0799999,3.4200001,279.30469,10149,1957q1,,3.3241963,,,,,,,,0,57,9.2251301,
1957:02,4.0999999,28.013334,3,3.29,3.6500001,279.02371,10904,1957q2,.85203755,3.3326807,3.3937454,,,3.4081502,,.16666651,,0,57,9.2968845,28.701782
1957:03,4.2333331,28.263334,3.47,3.53,4.0700002,278.50879,11231,1957q3,.89243215,3.3415654,3.5538673,.16012192,,3.5697286,.16157842,.13333321,,0,57,9.3264332,11.819458
1957:04,4.9333334,28.4,2.98,3.04,3.1800001,280.57959,11075,1957q4,.48354289,3.3463891,1.9294739,-1.6243935,,1.9341716,-1.6355571,.70000029,4.3000002,1,57,9.3124456,-5.5950165
1958:01,6.3000002,28.736666,1.2,1.3,1.84,281.53979,10973,1958q1,1.185444,3.3581738,4.7139168,2.7844429,,4.741776,2.8076043,1.3666668,4.8916664,0,58,9.3031931,-3.7010193
1958:02,7.3666668,28.93,.93000001,.82999998,1.23,281.11111,11325.3,1958q2,.67278016,3.3648791,2.6821136,-2.0318031,,2.6911206,-2.0506554,1.0666666,5.7083335,0,58,9.334794,12.640381
1958:03,7.3333335,28.913334,1.76,2.4400001,3.05,280.3284,11734.1,1958q3,-.057609443,3.3643029,-.23050308,-2.9126167,,-.23043777,-2.9215584,-.033333302,6.4833336,0,58,9.3702545,14.184189
1958:04,6.3666668,28.943333,2.4200001,2.77,3.29,280.37991,12080.1,1958q4,.10375413,3.3653398,.41475296,.64525604,,.41501653,.64545429,-.9666667,6.8416667,1,58,9.3993149,11.624146
1959:01,5.8333335,28.993334,2.8,2.8,3.6099999,281.27081,12223,1959q1,.17275532,3.3670659,.69046021,.27570724,-2.5085449,.69102126,.27600473,-.5333333,6.7250004,0,59,9.4110746,4.7039032
1959:02,5.0999999,29.043333,3.3900001,3.21,4.0700002,281.25369,12869,1959q2,.17245081,3.368789,.68922043,-.0012397766,-2.8288603,.68980324,-.0012180209,-.73333359,6.1583333,0,59,9.4625769,20.600891
1959:03,5.2666669,29.193333,3.76,4.04,5,280.37039,13680,1959q3,.51646835,3.3739405,2.0606041,1.3713837,-1.3099909,2.0658734,1.3760701,.16666698,5.6416669,0,59,9.5236902,24.445343
1959:04,5.5999999,29.370001,3.99,4.4899998,5.1399999,279.84451,13819,1959q4,.60516614,3.3799739,2.4133682,.35276413,-.43165684,2.4206645,.35479116,.33333302,5.4499998,1,59,9.5338001,4.0439606
1960:01,5.1333332,29.396667,3.8399999,3.3099999,4.02,280.58569,15162,1960q1,.09079551,3.3808813,.36296844,-2.0503998,.49233437,.36318204,-2.0574825,-.4666667,5.2750001,0,60,9.6265478,37.099075
1960:02,5.2333331,29.573334,3.3199999,2.46,3.3599999,280.26761,15364,1960q2,.60097378,3.386873,2.3966789,2.0337105,1.4174223,2.4038951,2.0407131,.099999905,5.3083334,0,60,9.639782,5.2936554
1960:03,5.5333333,29.59,2.5999999,2.48,3.0699999,281.27151,16239,1960q3,.056356218,3.3874364,.22535324,-2.1713257,.38583279,.22542487,-2.1784704,.30000019,5.375,0,60,9.6951714,22.155762
1960:04,6.2666669,29.780001,1.98,2.25,2.8599999,280.73709,17026,1960q4,.64211065,3.393837,2.5602341,2.3348808,-.077104568,2.5684426,2.3430178,.73333359,5.5416665,1,60,9.7424965,18.930054
1961:01,6.8000002,29.84,2.02,2.3900001,2.8800001,279.75,17959,1961q1,.20147571,3.3958497,.80509186,-1.7551422,.11529922,.80590284,-1.7625397,.5333333,5.9583335,0,61,9.7958469,21.340179
1961:02,7,29.83,1.73,2.3299999,3.0599999,278.98001,18695,1961q2,-.033512831,3.3955145,-.13408661,-.93917847,-.94425678,-.13405132,-.93995416,.19999981,6.4000001,0,61,9.8360109,16.065598
1961:03,6.7666669,29.946667,1.88,2.28,3.0599999,281.22,19424,1961q3,.39110559,3.3994181,1.561451,1.6955376,-.15141964,1.5644224,1.6984737,-.23333311,6.7083335,0,61,9.8742647,15.301514
1961:04,6.1999998,29.99,2.3299999,2.5999999,3.1800001,280.95999,20900,1961q4,.14470075,3.4008639,.57830811,-.98314285,-.68361759,.578803,-.98561937,-.56666708,6.6916666,1,61,9.947504,29.295731
1962:01,5.6333332,30.106667,2.8499999,2.72,3.0599999,281.52979,21428,1962q1,.38901898,3.4047465,1.5530586,.97475052,-.60715675,1.5560759,.97727293,-.5666666,6.4000001,0,62,9.9724541,9.980011
1962:02,5.5333333,30.219999,2.6800001,2.73,3.03,280.83011,21769,1962q2,.3764374,3.408504,1.5029907,-.050067902,.43480396,1.5057496,-.050326347,-.099999905,6.0333333,0,62,9.9882421,6.3152313
1962:03,5.5666666,30.306667,2.9000001,2.78,3.0599999,280.09009,21907,1962q3,.28679025,3.4113677,1.1454582,-.3575325,-.0032186508,1.147161,-.35858858,.033333302,5.7333331,0,62,9.9945612,2.5276184
1962:04,5.5333333,30.379999,2.9300001,2.8699999,3.01,280.33011,22412,1962q4,.24196601,3.4137845,.96673965,-.17871857,.58937073,.96786404,-.17929697,-.033333302,5.5666666,1,62,10.017352,9.1163635
1963:01,5.7666669,30.476667,2.98,2.8900001,3.03,280.06009,23150,1963q1,.31819698,3.4169614,1.270771,.30403137,.33180714,1.2727879,.30492389,.23333359,5.5999999,0,63,10.04975,12.95929
1963:02,5.7333331,30.533333,2.99,2.99,3.2,280.01981,24488,1963q2,.18593051,3.418819,.74300766,-.52776337,-.26745796,.74372202,-.52906591,-.033333778,5.6500001,0,63,10.105939,22.475433
1963:03,5.5,30.719999,3.48,3.3800001,3.5699999,279.76981,25571,1963q3,.61135316,3.4249139,2.437973,1.6949654,.15966892,2.4454126,1.7016907,-.23333311,5.6333332,0,63,10.149214,17.309952
1963:04,5.5666666,30.803333,3.3800001,3.52,3.8099999,279.64969,26867,1963q4,.27126944,3.4276228,1.0835648,-1.3544083,.091767311,1.0850778,-1.3603349,.066666603,5.6416664,1,63,10.198654,19.776154
1964:01,5.4666667,30.93,3.4300001,3.54,3.9100001,279.81009,27933,1964q1,.41121206,3.4317267,1.6415596,.55799484,.25503635,1.6448482,.55977046,-.099999905,5.5666666,0,64,10.237564,15.563965
1964:02,5.1999998,30.98,3.5,3.48,3.8299999,279.41971,29237,1964q2,.16165288,3.4333417,.64601898,-.99554062,.42078495,.64661151,-.99823672,-.26666689,5.4333334,0,64,10.283191,18.250656
1964:03,5,31.049999,3.45,3.53,3.8399999,278.34009,29905,1964q3,.22595124,3.4355989,.90284348,.25682449,-.28612614,.90380496,.25719345,-.19999981,5.3083334,0,64,10.305781,9.0362549
1964:04,4.9666667,31.193333,3.8499999,3.8399999,4.02,279.06009,30721,1964q4,.46162137,3.4402044,1.8422127,.9393692,-.12567043,1.8464855,.94268054,-.033333302,5.1583333,1,64,10.332702,10.768127
1965:01,4.9000001,31.290001,4.04,3.9300001,4.0599999,279.23999,31699,1965q1,.30990034,3.4432986,1.2376785,-.60453415,-.31933784,1.2396014,-.60688412,-.066666603,5.0166664,0,65,10.36404,12.535477
1965:02,4.6666665,31.49,4.04,3.8,3.99,279.23001,32437,1965q2,.63917816,3.4496701,2.5485992,1.3109207,.18055439,2.5567126,1.3171113,-.23333359,4.8833332,0,65,10.387055,9.2060089
1965:03,4.3666668,31.583334,4.0100002,3.9200001,4.1999998,279.66971,33475,1965q3,.29639313,3.4526296,1.1837959,-1.3648033,.63457489,1.1855725,-1.3711401,-.29999971,4.7249999,0,65,10.418554,12.599564
1965:04,4.0999999,31.75,4.3200002,4.3800001,4.7199998,280.20999,33558,1965q4,.52770245,3.4578927,2.1052361,.92144012,.51066875,2.1108098,.9252373,-.26666689,4.5083332,1,65,10.421031,.99067688
1966:01,3.8666666,32.046665,4.6500001,4.5900002,4.9699998,279.51981,35539.199,1966q1,.93437856,3.4671931,3.7201881,1.6149521,1.2322664,3.7375143,1.6267045,-.23333335,4.25,0,66,10.478392,22.94426
1966:02,3.8333333,32.336666,5.1700001,4.5,4.9699998,278.98001,37753.5,1966q2,.90493321,3.4762018,3.6034584,-.11672974,1.0203362,3.6197329,-.1177814,-.033333302,4.0416665,0,66,10.538834,24.176788
1966:03,3.7666667,32.616665,5.4000001,5.3699999,5.8200002,278.92969,39148.699,1966q3,.86588633,3.4848235,3.4486771,-.15478134,1.5163183,3.4635453,-.15618753,-.066666603,3.8916667,0,66,10.575123,14.515686
1966:04,3.7,32.883335,5.4000001,4.96,5.1999998,279.0098,40025.602,1966q4,.81758887,3.4929659,3.2569885,-.19168854,1.7385006,3.2703555,-.19318986,-.066666603,3.7916665,1,66,10.597275,8.8607788
1967:01,3.8333333,32.966667,4.5300002,4.2600002,4.3499999,279.6272,42074,1967q1,.25341731,3.495497,1.0124207,-2.2445679,.44093132,1.0136693,-2.2566862,.13333321,3.7833333,0,67,10.647185,19.964218
1967:02,3.8333333,33.166668,3.98,3.54,4.48,279.11719,43295,1967q2,.60667568,3.5015454,2.4193764,1.4069557,-.11880398,2.4267027,1.4130335,0,3.7833333,0,67,10.675793,11.442947
1967:03,3.8,33.5,3.99,4.4200001,5.2399998,278.36938,45546,1967q3,1.0050212,3.5115454,3.9999962,1.5806198,-.54719448,4.0200849,1.5933821,-.033333302,3.7916665,0,67,10.726478,20.273972
1967:04,3.9000001,33.866665,4.5100002,4.9699998,5.71,240.62981,47540,1967q4,1.094522,3.5224311,4.3542862,.35429001,-.56080818,4.378088,.35800314,.10000014,3.8416667,1,67,10.769327,17.139816
1968:01,3.7333333,34.200001,5.0500002,5.1700001,5.5799999,239.9718,49302.602,1968q1,.98425955,3.5322256,3.9177895,-.43649673,.84247589,3.9370382,-.44104981,-.16666675,3.8166666,0,68,10.805732,14.561844
1968:02,3.5666666,34.533333,6.0700002,5.52,5.98,238.46201,51317.602,1968q2,.97465515,3.541925,3.8797379,-.038051605,1.5035868,3.8986206,-.038417578,-.16666675,3.75,0,68,10.845789,16.022873
1968:03,3.5333333,35,5.7800002,5.1900001,5.4499998,238.7395,53237.102,1968q3,1.3513528,3.5553482,5.3692818,1.4895439,1.7080784,5.4054112,1.5067906,-.033333302,3.6833334,0,68,10.882511,14.688873
1968:04,3.4000001,35.433334,6.02,5.96,6.1900001,238.4157,57507.602,1968q4,1.2380981,3.5676529,4.9219131,-.44736862,1.5756607,4.9523926,-.45301867,-.13333321,3.5583334,1,68,10.959672,30.864334
1969:01,3.4000001,35.866665,6.79,6.02,6.3400002,239.1671,57632,1969q1,1.2229459,3.5798082,4.8621178,-.05979538,1.0854006,4.8917837,-.060608864,0,3.4749999,0,69,10.961833,.8644104
1969:02,3.4333334,36.433334,8.8999996,6.4400001,7.04,238.95,60612.398,1969q2,1.5799335,3.595484,6.2703133,1.4081955,1.3179541,6.3197341,1.4279504,.033333302,3.4416666,0,69,11.012255,20.168686
1969:03,3.5666666,36.933334,9.1499996,7.0900002,7.8200002,238.39999,63086.898,1969q3,1.3723695,3.6091144,5.4521561,-.8181572,.99635124,5.4894781,-.83025599,.13333321,3.45,0,69,11.052268,16.005325
1969:04,3.5666666,37.5,8.9700003,7.8200002,8.1700001,239.73,66786,1969q4,1.5342932,3.624341,6.090641,.63848495,1.1466265,6.1371727,.64769459,0,3.4916668,1,69,11.109249,22.792435
1970:01,4.1666665,38.099998,7.7600002,6.6300001,6.9699998,240.58,69527,1970q1,1.599996,3.6402142,6.3492775,.25863647,1.2823343,6.3999839,.26281118,.5999999,3.6833334,0,70,11.14947,16.088486
1970:02,4.7666669,38.633335,7.5999999,6.6799998,7.5500002,239.77,71738,1970q2,1.3998338,3.6541154,5.5604935,-.78878403,.50723553,5.5993352,-.80064869,.60000038,4.0166664,0,70,11.180776,12.522125
1970:03,5.1666665,39.033333,6.29,6.1199999,6.73,238.53,74777,1970q3,1.0353694,3.6644161,4.1202545,-1.440239,.15354156,4.1414776,-1.4578576,.39999962,4.4166665,0,70,11.222265,16.59584
1970:04,5.8333335,39.599998,4.9000001,4.8699999,5,239.06,76524,1970q4,1.451748,3.6788292,5.7652473,1.6449928,-.21998882,5.8069921,1.6655145,.66666698,4.9833336,1,70,11.245359,9.2376709
1971:01,5.9333334,39.933334,3.71,3.3800001,3.6900001,241.87,77842,1971q1,.8417573,3.6872115,3.3529282,-2.4123192,-1.3408661,3.3670292,-2.4399629,.099999905,5.4250002,0,71,11.262437,6.8309784
1971:02,5.9000001,40.299999,4.9099998,4.75,5.6399999,241.87,79555,1971q2,.91819251,3.6963515,3.6560059,.3030777,-1.639533,3.67277,.30574083,-.033333302,5.7083335,0,71,11.284204,8.706665
1971:03,6.0333333,40.700001,5.5500002,4.6900001,5.4099998,246.94,81698,1971q3,.99255961,3.706228,3.9505959,.29459,-1.3489723,3.9702384,.29746842,.13333321,5.9250002,0,71,11.310784,10.632324
1971:04,5.9333334,41,4.1399999,4.0100002,4.5999999,252.66,83062,1971q4,.73709887,3.713572,2.937603,-1.0129929,-1.974535,2.9483955,-1.021843,-.099999905,5.9499998,1,71,11.327343,6.6234589
1972:01,5.7666669,41.333332,3.8299999,3.73,4.6700001,261.81,87117,1972q1,.81300503,3.7216692,3.2388687,.30126572,-1.2539625,3.2520201,.30362463,-.16666651,5.9083333,0,72,11.375008,19.065857
1972:02,5.6999998,41.599998,4.46,3.9100001,4.9299998,256.91,89731,1972q2,.64516068,3.7281001,2.5723457,-.66652298,-1.0487556,2.5806427,-.67137742,-.06666708,5.8583336,0,72,11.404572,11.825562
1972:03,5.5666666,41.933334,4.8699999,4.6599998,5.52,244.10001,93788,1972q3,.80128819,3.7360811,3.1924248,.62007904,-1.1958838,3.2051528,.62451005,-.13333321,5.7416668,0,72,11.448792,17.68837
1972:04,5.3666668,42.366665,5.3299999,5.0700002,5.52,234.48,97757,1972q4,1.0333797,3.7463617,4.1122437,.91981888,-.1953125,4.1335187,.92836595,-.19999981,5.5999999,1,72,11.49024,16.579056
1973:01,4.9333334,43.033333,7.0900002,6.0900002,6.8499999,247.24001,104568,1973q1,1.5735672,3.761975,6.245327,2.1330833,.58481693,6.2942686,2.1607499,-.4333334,5.3916664,0,73,11.557592,26.940918
1973:02,4.9333334,43.933334,8.4899998,7.1900001,7.3099999,257.62,109319,1973q2,2.0914056,3.7826734,8.2793236,2.0339966,2.2824764,8.3656225,2.0713539,0,5.1999998,0,73,11.602025,17.773056
1973:03,4.8000002,44.799999,10.78,8.29,8.3100004,241.83,113518,1973q3,1.9726818,3.8022082,7.8139305,-.46539307,3.6273956,7.890727,-.47489548,-.13333321,5.0083332,0,73,11.639717,15.076828
1973:04,4.7666669,45.933334,9.9499998,7.4499998,7.27,231.74001,120420,1973q4,2.5297658,3.8271911,9.9931717,2.1792412,4.8039675,10.119063,2.2283363,-.033333302,4.8583336,1,73,11.698741,23.609543
1974:01,5.1333332,47.299999,9.3500004,7.96,7.7600002,234.06,123283,1974q1,2.9753227,3.8565102,11.727619,1.7344475,5.4229259,11.901291,1.7822275,.36666632,4.9083333,0,74,11.722238,9.3986511
1974:02,5.1999998,48.566666,11.93,7.9000001,8.6700001,239.02,131736,1974q2,2.6779418,3.8829374,10.570908,-1.1567116,4.5690775,10.711767,-1.1895237,.066666603,4.9749999,0,74,11.788555,26.527023
1974:03,5.6333332,49.933334,11.34,8.0600004,8.8699999,231.64999,137890,1974q3,2.8140056,3.9106889,11.100578,.52967072,4.235363,11.256022,.54425526,.4333334,5.1833334,0,74,11.834211,18.262482
1974:04,6.5999999,51.466667,8.5299997,7.1500001,7.3099999,232.94,141613,1974q4,3.07076,3.9409344,12.098217,.9976387,3.2913923,12.28304,1.0270176,.9666667,5.6416664,1,74,11.860853,10.656738
1975:01,8.2666664,52.566666,5.54,5.4899998,6.1100001,241.8,141887,1975q1,2.1373026,3.9620821,8.4590912,-3.6391258,1.1036873,8.5492105,-3.7338295,1.6666665,6.4249997,0,75,11.862786,.77323914
1975:02,8.8666668,53.200001,5.5500002,5.3400002,6.29,228.03,146444,1975q2,1.2048227,3.9740584,4.7904968,-3.6685944,-.91431141,4.8192906,-3.7299199,.60000038,7.3416667,0,75,11.894399,12.644958
1975:03,8.4666662,54.266666,6.2399998,6.4200001,7.75,208.35001,149751,1975q3,2.0050106,3.9939101,7.9406738,3.150177,-2.5259495,8.0200424,3.2007518,-.40000057,8.0500002,0,75,11.916729,8.9321136
1975:04,8.3000002,55.266666,5.1999998,5.4400001,6.5999999,202.21001,154088,1975q4,1.8427519,4.0121698,7.3039055,-.63676834,-4.2507887,7.3710074,-.64903498,-.16666603,8.4750004,1,75,11.945279,11.420059
1976:01,7.7333331,55.900002,4.8400002,5,6.21,194.28,159302,1976q1,1.1459622,4.0235643,4.5578003,-2.7461052,-4.4089794,4.583849,-2.7871585,-.56666708,8.3416662,0,76,11.978557,13.311005
1976:02,7.5666666,56.400002,5.48,5.4099998,6.52,176.39999,164546,1976q2,.89445436,4.0324693,3.5619736,-.99582672,-3.2710075,3.5778174,-1.0060315,-.16666651,8.0166664,0,76,12.010945,12.955475
1976:03,7.7333331,57.299999,5.25,5.0799999,5.8400002,172.72,169524,1976q3,1.5957406,4.0483007,6.3325882,2.7706146,-2.8830528,6.3829622,2.8051448,.16666651,7.833333,0,76,12.04075,11.921692
1976:04,7.7666669,58.133335,4.6500001,4.3499999,4.8899999,167.84,172022,1976q4,1.4543384,4.0627394,5.7754517,-.55713654,-2.0665884,5.8173537,-.5656085,.033333778,7.6999998,1,76,12.055378,5.8513641
1977:01,7.5,59.200001,4.6900001,4.5999999,5.5,171.7408,179402,1977q1,1.8348606,4.0809216,7.2729111,1.4974594,-.41248798,7.3394423,1.5220885,-.26666689,7.6416664,0,77,12.097384,16.802597
1977:02,7.1333332,60.233334,5.3899999,5.02,5.8000002,171.914,183207,1977q2,1.7454946,4.0982261,6.9217682,-.35114288,.73459148,6.9819784,-.35746384,-.36666679,7.5333333,0,77,12.118372,8.3950043
1977:03,6.9000001,61.066666,6.1399999,5.8099999,6.5300002,174.3139,187162,1977q3,1.3835064,4.1119661,5.4960251,-1.4257431,.92747211,5.5340257,-1.4479527,-.23333311,7.3249998,0,77,12.139729,8.5430145
1977:04,6.6666665,61.966667,6.5599999,6.0700002,6.96,185.4575,191997,1977q4,1.4738016,4.1265965,5.8521271,.35610199,1.3287544,5.8952065,.36118078,-.23333359,7.0500002,1,77,12.165235,10.202026
1978:01,6.3333335,63.033333,6.79,6.29,7.3099999,190.54671,197835,1978q1,1.7213539,4.1436639,6.826973,.97484589,.5384922,6.8854156,.9902091,-.33333302,6.7583332,0,78,12.195189,11.981583
1978:02,6,64.466667,7.5999999,6.73,8.0900002,183.7244,201639,1978q2,2.2739308,4.1661482,8.993721,2.166748,.21653175,9.0957232,2.2103076,-.33333349,6.4749999,0,78,12.214234,7.6183319
1978:03,6.0333333,65.966667,8.4499998,7.8499999,8.6400003,195.95,206879,1978q3,2.3267839,4.1891494,9.2004776,.20675659,1.3517857,9.3071356,.21141243,.033333302,6.2583332,0,78,12.239889,10.261917
1978:04,5.9000001,67.5,10.03,9.0799999,10.3,198.6109,210785,1978q4,2.3244054,4.2121277,9.1913223,-.0091552734,2.1674156,9.2976217,-.009513855,-.13333321,6.0666666,1,78,12.258594,7.4817657
1979:01,5.8666668,69.199997,10.09,9.4799995,10.25,203.78,215043,1979q1,2.5185139,4.2370009,9.9493027,.75798035,3.0594826,10.074056,.77643394,-.033333302,5.9499998,0,79,12.278593,7.9998016
1979:02,5.6999998,71.400002,10.29,9.0600004,9.5699997,211.19,219875,1979q2,3.1791975,4.2682977,12.518692,2.5693893,3.4227371,12.71679,2.6427345,-.16666698,5.875,0,79,12.300815,8.8886261
1979:03,5.8666668,73.699997,11.43,10.26,10.84,219.66,223217,1979q3,3.221282,4.3000026,12.681961,.16326904,3.3669949,12.885128,.16833782,.16666698,5.8333335,0,79,12.3159,6.0340881
1979:04,5.9666667,76.033333,13.78,12.04,11.98,220.07001,226526,1979q4,3.1659918,4.331172,12.467766,-.21419525,3.3513069,12.663967,-.22116089,.099999905,5.8499999,1,79,12.330615,5.8860779
1980:01,6.3000002,79.033333,17.190001,15.2,15.82,220.4511,231999.8,1980q1,3.9456379,4.3698697,15.479088,3.011322,3.9531708,15.782552,3.1185846,.33333349,5.9583335,0,80,12.354492,9.5508575
1980:02,7.3333335,81.699997,9.4700003,7.0700002,8.1599998,233.5943,236053,1980q2,3.3741004,4.4030538,13.273621,-2.2054672,3.2606602,13.496402,-2.28615,1.0333333,6.3666668,0,80,12.371812,6.9278717
1980:03,7.6666665,83.23333,10.87,10.27,11.52,240.12331,243962.91,1980q3,1.8767844,4.421648,7.437706,-5.8359146,1.0792255,7.5071378,-5.989264,.33333302,6.8166666,0,80,12.404772,13.183975
1980:04,7.4000001,85.566666,18.9,15.49,14.88,234.5937,249946,1980q4,2.8033671,4.449296,11.059189,3.6214828,-.092029572,11.213469,3.7063308,-.26666641,7.1750002,1,80,12.429,9.6912384
1981:01,7.4333334,87.933334,14.7,13.36,13.71,223.19,254559.91,1981q1,2.765877,4.4765792,10.913277,-.14591217,-2.6159286,11.063508,-.14996052,.033333302,7.4583335,0,81,12.447291,7.3165894
