datxx,lhur,punew,fyff,fygm3,fygt1,exruk,gdpjp,time,inf,lpunew,inf_a,dinf,dinfa,infpct,dinfpct,dlhur,lhura,yq4,yr,lgdpj,dlgdpj
1981:02,7.4000001,89.76667,19.1,14.73,14.86,197.38,255595.59,1981q2,2.0849156,4.4972138,8.2538605,-2.6594162,-4.0596008,8.3396626,-2.7238455,-.033333302,7.4749999,0,81,12.451352,1.6242981
1981:03,7.4000001,92.26667,15.87,14.7,16.52,181.46001,261035.2,1981q3,2.7849979,4.524683,10.987663,2.7338028,-1.8610477,11.139992,2.8003292,0,7.4083333,0,81,12.47241,8.423233
1981:04,8.2333336,93.76667,12.37,10.85,12.85,190.3329,264012.19,1981q4,1.6257225,4.5408096,6.4506531,-4.5370102,-2.6610374,6.5028901,-4.6371017,.83333349,7.6166668,1,81,12.48375,4.5360565
1982:01,8.833333,94.599998,14.68,12.68,13.95,180.5,267124.91,1982q1,.88872546,4.5496573,3.5390854,-2.9115677,-3.3631325,3.5549018,-2.9479883,.59999943,7.9666667,0,82,12.495472,4.6886444
1982:02,9.4333334,95.966667,14.15,12.47,14.07,175.63,271720.59,1982q2,1.4446815,4.5640011,5.7374954,2.19841,-2.7372837,5.7787261,2.2238243,.60000038,8.4750004,0,82,12.512529,6.8229675
1982:03,9.8999996,97.633331,10.31,7.9200001,10.85,171.2,273228.81,1982q3,1.7367115,4.5812187,6.8870544,1.149559,-4.6499252,6.946846,1.1681199,.46666622,9.1000004,0,82,12.518064,2.2140503
1982:04,10.666667,97.933334,8.9499998,7.9400001,8.9099998,161.60001,275198.59,1982q4,.30727524,4.5842872,1.2273788,-5.6596756,-4.8036098,1.2291009,-5.7177448,.76666737,9.708333,1,82,12.525249,2.8736115
1983:01,10.366667,98,8.7700005,8.3500004,9.04,149,278451.19,1983q1,.068072483,4.5849676,.27217865,-.9552002,-3.7767887,.27228993,-.95681101,-.30000019,10.091667,0,83,12.536998,4.699707
1983:02,10.133333,99.133331,8.9799995,8.79,9.6599998,154.8,281202.31,1983q2,1.1564605,4.5964656,4.5991898,4.3270111,-3.4322739,4.6258421,4.3535523,-.23333359,10.266666,0,83,12.546829,3.9325714
1983:03,9.3666668,100.1,9.4499998,9,10.16,149.86,285152.19,1983q3,.97511822,4.6061697,3.8816452,-.71754456,-3.158474,3.9004729,-.72536922,-.76666641,10.133333,0,83,12.560779,5.5797577
1983:04,8.5333338,101.1,9.4700003,9,10.11,143.38,286365.69,1983q4,.99900103,4.6161103,3.9762497,.094604492,-1.1654377,3.9960041,.095531225,-.83333302,9.6000004,1,83,12.565025,1.6986847
1984:01,7.8666668,102.53333,9.9099998,9.5200005,10.59,145.57001,292292.91,1984q1,1.4177393,4.630188,5.6310654,1.6548157,.99101067,5.6709571,1.674953,-.66666698,8.9750004,0,84,12.585511,8.1943512
1984:02,7.4333334,103.5,11.06,9.8699999,12.08,137.7,298527.81,1984q2,.94278336,4.6395717,3.7534714,-1.877594,1.0641575,3.7711334,-1.8998237,-.4333334,8.3000002,0,84,12.606618,8.442688
1984:03,7.4333334,104.4,11.3,10.37,11.58,125.63,303875.69,1984q3,.86956668,4.6482296,3.4631729,-.29029846,1.7108917,3.4782667,-.29286671,0,7.8166666,0,84,12.624374,7.1025848
1984:04,7.3000002,105.3,8.3800001,8.0600004,9.3299999,118.61,308001.59,1984q4,.86207044,4.6568136,3.433609,-.029563904,.88801384,3.4482818,-.029984951,-.13333321,7.5083332,1,84,12.63786,5.3943634
1985:01,7.2333331,106.26667,8.5799999,8.5200005,9.8599997,112.53,316702.19,1985q1,.9180125,4.6659517,3.6552429,.22163391,-.94566345,3.67205,.22376823,-.06666708,7.3499999,0,85,12.665717,11.142731
1985:02,7.3000002,107.23333,7.5300002,6.9499998,7.8000002,128.08,320064.19,1985q2,.9096545,4.6750073,3.6222458,-.032997131,-.76704025,3.638618,-.033432007,.06666708,7.3166666,0,85,12.676277,4.2240143
1985:03,7.1999998,107.9,7.9200001,7.0999999,8.0699997,136.42,324477.19,1985q3,.62170202,4.6812048,2.478981,-1.1432648,-.90847015,2.4868081,-1.1518099,-.10000038,7.2583332,0,85,12.689971,5.4775238
1985:04,7.0333333,109,8.2700005,7.0999999,7.6700001,144.47,332086.5,1985q4,1.019461,4.6913481,4.057312,1.578331,-.61688423,4.0778441,1.5910361,-.16666651,7.1916666,1,85,12.713151,9.2720032
1986:01,7.0333333,109.56667,7.48,6.5599999,7.0300002,146.74001,332099,1986q1,.51987672,4.6965332,2.0740509,-1.9832611,-.51822662,2.0795069,-1.9983373,0,7.1416664,0,86,12.713188,.014877319
1986:02,7.1666665,109.03333,6.9200001,6.21,6.73,150.85001,337871.41,1986q2,-.48676559,4.6916537,-1.9517899,-4.0258408,-1.8789291,-1.9470624,-4.0265694,.13333321,7.1083331,0,86,12.730421,6.893158
1986:03,6.9666667,109.7,5.8899999,5.21,5.77,146.98,341120.69,1986q3,.61143148,4.6977491,2.4381638,4.3899536,-1.6430855,2.4457259,4.3927884,-.19999981,7.0500002,0,86,12.739991,3.8280487
1986:04,6.8333335,110.46667,6.9099998,5.5300002,5.8699999,143.92999,343613.91,1986q4,.698879,4.7047138,2.7858734,.34770966,-2.1168709,2.795516,.3497901,-.13333321,7,1,86,12.747274,2.9132843
1987:01,6.5999999,111.8,6.1300001,5.5900002,6.0300002,159.23,344760.41,1987q1,1.2070029,4.7167115,4.7990799,2.0132065,-1.0403156,4.8280115,2.0324955,-.23333359,6.8916664,0,87,12.750605,1.3320923
1987:02,6.2666669,113.06667,6.73,5.6700001,6.8000002,162.88,346317.41,1987q2,1.1329719,4.7279778,4.5064926,-.29258728,1.9677639,4.5318875,-.29612398,-.33333302,6.666667,0,87,12.755111,1.8024445
1987:03,6,114.26667,7.2199998,6.4000001,7.6700001,164.46001,355160.31,1987q3,1.0613248,4.7385349,4.2228699,-.28362274,2.4241447,4.2452993,-.28658819,-.26666689,6.4250002,0,87,12.780325,10.085678
1987:04,5.8333335,115.33334,6.77,5.77,7.1700001,182.88,363021.31,1987q4,.93348801,4.7478266,3.7166595,-.50621033,2.9747009,3.733952,-.51134729,-.16666651,6.1750002,1,87,12.802217,8.7566376
1988:01,5.6999998,116.23333,6.5799999,5.6999998,6.71,183.3,371485.59,1988q1,.78034151,4.7555995,3.109169,-.60749054,1.870966,3.121366,-.61258602,-.13333368,5.9499998,0,88,12.825265,9.2193604
1988:02,5.4666667,117.56667,7.5100002,6.46,7.4899998,177.67999,373538.81,1988q2,1.1471201,4.7670054,4.5623779,1.4532089,.27036667,4.5884805,1.4671144,-.23333311,5.75,0,88,12.830777,2.204895
1988:03,5.4666667,119,8.1899996,7.2399998,8.0900002,168.39999,382391.5,1988q3,1.2191674,4.7791233,4.8471451,.28476715,-.019741058,4.8766694,.28818893,0,5.6166668,0,88,12.8542,9.369278
1988:04,5.3333335,120.3,8.7600002,8.0699997,8.9899998,182.58,389289.19,1988q4,1.0924395,4.7899885,4.3460846,-.50106049,-.095081329,4.3697581,-.50691128,-.13333321,5.4916668,1,88,12.872078,7.1510315
1989:01,5.1999998,121.66666,9.8500004,8.8199997,9.5699997,171.34,400800,1989q1,1.1360441,4.8012853,4.5186996,.17261505,.67977905,4.5441766,.17441845,-.13333368,5.3666668,0,89,12.901217,11.655807
1989:02,5.2333331,123.63333,9.5299997,8.1499996,8.4399996,155.3,400100.69,1989q2,1.6164389,4.8173203,6.414032,1.8953323,1.1287212,6.4657555,1.9215789,.033333302,5.3083334,0,89,12.899471,-.69847107
1989:03,5.2333331,124.6,9.0200005,7.75,8.2200003,157.14999,410036.41,1989q3,.78188235,4.8251085,3.1152725,-3.2987595,.5396843,3.1275294,-3.3382261,0,5.25,0,89,12.924002,9.8121643
1989:04,5.3666668,125.86667,8.4499998,7.6300001,7.7199998,159.64999,422579.09,1989q4,1.0165893,4.8352232,4.0458679,.9305954,.30727386,4.0663571,.93882775,.13333368,5.2583332,1,89,12.954132,12.052155
1990:01,5.3000002,128.03334,8.2799997,7.9000001,8.3500004,162.45,424834.19,1990q1,1.7214023,4.8522906,6.826973,2.781105,.53195953,6.8856091,2.819252,-.066666603,5.2833333,0,90,12.959455,2.1289825
1990:02,5.3333335,129.3,8.29,7.73,8.1000004,171.03,439094.69,1990q2,.98932248,4.8621354,3.937912,-2.889061,-.54998398,3.9572899,-2.9283192,.033333302,5.3083334,0,90,12.992471,13.206482
1990:03,5.6999998,131.53334,8.1999998,7.3600001,7.7600002,187.94,446521.19,1990q3,1.7272524,4.8792605,6.8500519,2.9121399,.816679,6.9090095,2.9517195,.36666632,5.4250002,0,90,13.009242,6.7085266
1990:04,6.1333332,133.76666,7.3099999,6.7399998,7.0500002,192.19,450219.81,1990q4,1.6979133,4.8960972,6.7346573,-.11539459,1.5639305,6.7916532,-.1173563,.4333334,5.6166668,1,90,13.017491,3.2997131
1991:01,6.5999999,134.76666,6.1199999,5.9099998,6.4000001,182.14,462847.19,1991q1,.7475704,4.9035449,2.9790878,-3.7555695,.0248909,2.9902816,-3.8013716,.4666667,5.9416666,0,91,13.045153,11.064529
1991:02,6.8333335,135.56667,5.9000001,5.5700002,6.3600001,164.97,465150.09,1991q2,.5936209,4.9094634,2.3674011,-.61168671,.25129318,2.3744836,-.615798,.23333359,6.3166666,0,91,13.050116,1.9851685
1991:03,6.8666668,136.60001,5.4499998,5.2199998,5.5700002,172.64999,469224.09,1991q3,.76223785,4.917057,3.0374527,.67005157,-1.6355515,3.0489514,.6744678,.033333302,6.6083336,0,91,13.058836,3.4881592
1991:04,7.0999999,137.73334,4.4299998,4.0700002,4.3800001,182.72,475944.41,1991q4,.8296715,4.9253197,3.3050537,.26760101,-3.1651497,3.318686,.26973462,.23333311,6.8499999,1,91,13.073056,5.6880951
1992:01,7.3666668,138.66667,3.98,4.04,4.6300001,172.38,477201.09,1992q1,.67763865,4.9320731,2.7013779,-.60367584,-2.2726059,2.7105546,-.60813141,.26666689,7.041667,0,92,13.075693,1.0547638
1992:02,7.5999999,139.73334,3.76,3.6600001,4.1700001,185.50999,481668.41,1992q2,.76923001,4.9397359,3.0651093,.36373138,-1.7055511,3.07692,.36636543,.23333311,7.2333336,0,92,13.085011,3.7273407
1992:03,7.6333332,140.8,3.22,2.9100001,3.1800001,184.64999,482419.69,1992q3,.76335806,4.9473405,3.0418396,-.023269653,-.75130463,3.0534322,-.023487806,.033333302,7.4250002,0,92,13.08657,.62332153
1992:04,7.3666668,142.03334,2.9200001,3.22,3.71,155.10001,480767.81,1992q4,.87594986,4.9560618,3.4885406,.44670105,.151968,3.5037994,.45036721,-.26666641,7.4916668,1,92,13.083139,-1.3721466
1993:01,7.1333332,143.06667,3.0699999,2.95,3.3299999,146.17,489538.81,1993q1,.72752297,4.9633107,2.8995514,-.58898926,.27093887,2.9100919,-.59370756,-.23333359,7.4333334,0,93,13.101219,7.2319031
1993:02,7.0666666,144.10001,3.04,3.0699999,3.54,150.82001,483332.5,1993q2,.72227895,4.9705076,2.8787613,-.0207901,.04992485,2.8891158,-.020976067,-.066666603,7.3000002,0,93,13.08846,-5.1036835
1993:03,6.8000002,144.76666,3.0899999,2.95,3.3599999,152.48,482328.09,1993q3,.46263459,4.9751234,1.8463135,-1.0324478,-.25005341,1.8505384,-1.0385774,-.26666641,7.0916667,0,93,13.08638,-.83198547
1993:04,6.6333332,145.96666,2.96,3.0599999,3.6099999,149.13,481369.69,1993q4,.82891804,4.9833784,3.302002,1.4556885,-.34255981,3.3156722,1.4651338,-.16666698,6.9083333,1,93,13.084391,-.79574585
1994:01,6.5666666,146.7,3.3399999,3.5,4.3200002,149.19,486649,1994q1,.50240064,4.9883895,2.0044327,-1.2975693,-.61588287,2.0096025,-1.3060696,-.066666603,6.7666664,0,94,13.095299,4.3632507
1994:02,6.1999998,147.53334,4.25,4.1399999,5.27,152.62,489262,1994q2,.56805968,4.9940543,2.2659302,.2614975,-.72250366,2.2722387,.26263618,-.36666679,6.5500002,0,94,13.100654,2.1419525
1994:03,6,148.89999,4.73,4.6199999,5.7600002,156.61,492229,1994q3,.92633533,5.0032749,3.6882401,1.4223099,.036859512,3.7053413,1.4331026,-.19999981,6.3499999,0,94,13.106699,2.4181366
1994:04,5.6333332,149.76666,5.4499998,5.5999999,7.1399999,155.87,491944,1994q4,.58204752,5.0090785,2.321434,-1.366806,-.1616478,2.3281901,-1.3771513,-.36666679,6.0999999,1,94,13.10612,-.23155212
1995:01,5.4666667,150.86667,5.98,5.73,6.4299998,160.02,492390,1995q1,.73447996,5.0163965,2.9272079,.60577393,.2928257,2.9379199,.60972977,-.16666651,5.8249998,0,95,13.107026,.36239624
1995:02,5.6666665,152.10001,6,5.4699998,5.6399999,159.48,493974,1995q2,.8175016,5.024538,3.2566071,.32939911,.6937027,3.2700064,.33208656,.19999981,5.6916666,0,95,13.110238,1.28479
1995:03,5.6666665,152.86667,5.8000002,5.2800002,5.6199999,155.89999,499014,1995q3,.50405163,5.0295663,2.0112991,-1.2453079,-.18601418,2.0162065,-1.2537999,0,5.6083331,0,95,13.120389,4.0603638
1995:04,5.5666666,153.7,5.5999999,5.1399999,5.3099999,154.05,501389,1995q4,.54513407,5.0350027,2.1745682,.16326904,.022411346,2.1805363,.16432977,-.099999905,5.5916667,1,95,13.125137,1.8993378
1996:01,5.5333333,155.06667,5.3099999,4.96,5.3400002,152.71001,503903,1996q1,.88917941,5.0438552,3.5409927,1.3664246,-.054836273,3.5567176,1.3761814,-.033333302,5.6083331,0,96,13.130139,2.0008087
1996:02,5.5,156.39999,5.27,5.0900002,5.8099999,154.16,509525,1996q2,.85984194,5.0524168,3.4246445,-.11634827,-.26049614,3.4393678,-.11734986,-.033333302,5.5666666,0,96,13.141234,4.4380188
1996:03,5.2666669,157.3,5.3000002,5.0900002,5.8299999,155.92999,510978,1996q3,.57545346,5.0581551,2.2953033,-1.1293411,.22974014,2.3018138,-1.1375539,-.23333311,5.4666667,0,96,13.144082,1.1390686
1996:04,5.3333335,158.66667,5.29,4.9099998,5.4699998,166.39,517045,1996q4,.86882943,5.0668054,3.4601212,1.1648178,.58784485,3.4753177,1.1735039,.066666603,5.4083333,1,96,13.155885,4.7210693
1997:01,5.2333331,159.63333,5.3899999,5.1399999,5.8000002,160.96001,520537,1997q1,.60923916,5.0728793,2.4295807,-1.0305405,.15654564,2.4369566,-1.0383611,-.10000038,5.3333335,0,97,13.162616,2.6924133
1997:02,5,160,5.5599999,4.9299998,5.6900001,164.49001,520930,1997q2,.22969432,5.0751739,.91781616,-1.5117645,-.51217079,.91877729,-1.5181794,-.23333311,5.2083335,0,97,13.163371,.30212402
1997:03,4.8666668,160.8,5.54,4.9499998,5.52,160.13,519672,1997q3,.50000191,5.0801616,1.9950867,1.0772705,-.65822601,2.0000076,1.0812304,-.13333321,5.1083336,0,97,13.160954,-.96702576
1997:04,4.6666665,161.66667,5.5,5.1599998,5.5300002,165.97,523638,1997q4,.53897303,5.0855365,2.1499634,.15487671,-1.3071537,2.1558921,.1558845,-.20000029,4.9416666,1,97,13.168556,3.0410767
1998:01,4.6333332,162,5.4899998,5.0300002,5.3899999,166.19,517862,1998q1,.20618242,5.0875964,.82397461,-1.3259888,-1.4307022,.82472968,-1.3311625,-.033333302,4.7916665,0,98,13.157464,-4.4368744
1998:02,4.4000001,162.53334,5.5599999,4.98,5.4099998,165.03999,511371,1998q2,.3292225,5.0908833,1.3147354,.4907608,-.70476532,1.31689,.49216032,-.23333311,4.6416664,0,98,13.144851,-5.0453186
1998:03,4.5333333,163.36667,5.5100002,4.6100001,4.71,168.23,513628,1998q3,.51271218,5.0959973,2.0456314,.730896,-.61707497,2.0508487,.73395872,.13333321,4.5583334,0,98,13.149255,1.7616272
1998:04,4.4333334,164.13333,4.6799998,4.3899999,4.52,167.08,515037,1998q4,.46928948,5.1006789,1.8726349,-.17299652,-.35886765,1.8771579,-.1736908,-.099999905,4.5,1,98,13.151994,1.0955811
1999:01,4.3000002,164.73334,4.8099999,4.4400001,4.7800002,162.13,508639,1999q1,.36556017,5.1043282,1.4596939,-.41294098,.2014637,1.4622407,-.41491723,-.13333321,4.416667,0,99,13.139494,-4.9999237
1999:02,4.2666669,165.96666,4.7600002,4.5700002,5.0999999,159.5,509767,1999q2,.74867791,5.1117868,2.9834747,1.5237808,.51941872,2.9947116,1.5324709,-.033333302,4.3833332,0,99,13.141709,.88615417
1999:03,4.2333331,167.2,5.2199998,4.6799998,5.25,162.47,506001,1999q3,.74312359,5.1191907,2.9615402,-.021934509,.73575974,2.9724944,-.022217274,-.033333778,4.3083334,0,99,13.134294,-2.9663086
1999:04,4.0666666,168.43333,5.3000002,5.1999998,5.8400002,161.32001,506428,1999q4,.73764199,5.1265402,2.9397964,-.021743774,1.0718822,2.950568,-.021926403,-.16666651,4.2166667,1,99,13.135138,.33760071
2000:01:00,4.0333333,170.10001,5.8499999,5.6900001,6.2199998,157.99001,509212,2000q1,.98951417,5.1363864,3.9384842,.99868774,1.53265,3.9580567,1.0074887,-.033333302,4.1500001,0,100,13.140619,2.192688
2000:02:00,3.9333334,171.43333,6.5300002,5.6900001,6.1700001,150.9245,510965,2000q2,.7838496,5.1441946,3.1232834,-.81520081,1.1504173,3.1353984,-.8226583,-.099999905,4.0666666,0,100,13.144056,1.3748169
2000:03:00,4,173,6.52,6,6.1300001,143.355,511652,2000q3,.91386288,5.1532917,3.6388397,.51555634,1.090765,3.6554515,.52005315,.066666603,4.0083332,0,100,13.1454,.53749084
2000:04:00,3.9000001,174.23334,6.4000001,5.77,5.5999999,146.2915,514879,2000q4,.71291178,5.1603956,2.841568,-.79727173,.7994175,2.8516471,-.8038044,-.099999905,3.9666667,1,100,13.151688,2.5150299
2001:01:00,4.2333331,175.89999,5.3099999,4.4200001,4.3000002,144.44591,516339,2001q1,.9565658,5.1699157,3.8080215,.96645355,.14710426,3.8262632,.97461605,.33333302,4.0166664,0,101,13.154519,1.1325836
2001:02:00,4.4000001,177.26666,3.97,3.49,3.5799999,140.201,507542,2001q2,.77695781,5.1776552,3.0958176,-.71220398,.10528564,3.1078312,-.71843195,.16666698,4.1333332,0,101,13.137335,-6.873703
2001:03:00,4.8333335,177.66667,3.0699999,2.6400001,2.8199999,146.3811,502521,2001q3,.22565392,5.1799092,.9016037,-2.1942139,-.74834824,.90261567,-2.2052155,.4333334,4.3416667,0,101,13.127393,-3.9768219
2001:04:00,5.5333333,177.43333,1.8200001,1.6900001,2.22,144.1265,497700,2001q4,-.13133436,5.1785951,-.52566528,-1.427269,-1.5655994,-.52533746,-1.4279531,.69999981,4.75,1,101,13.117753,-3.855896
2002:01:00,5.6999998,178.06667,1.73,1.79,2.5699999,142.3024,497409,2002q1,.35694042,5.182158,1.4251709,1.9508362,-2.1286964,1.4277617,1.9530991,.16666651,5.1166668,0,102,13.117167,-.23422241
2002:02:00,5.8333335,179.5,1.75,1.7,2.2,148.3685,497511,2002q2,.80494255,5.1901751,3.2068253,1.7816544,-2.0940781,3.2197702,1.7920085,.13333368,5.4749999,0,102,13.117373,.082015991
2002:03:00,5.7333331,180.43333,1.75,1.63,1.72,155.63,500751,2002q3,.51996344,5.1953611,2.0744324,-1.1323929,-1.1165619,2.0798538,-1.1399164,-.10000038,5.6999998,0,102,13.123864,2.5966644
2002:04:00,5.8666668,181.36667,1.24,1.1900001,1.45,158.63,498534,2002q4,.51727378,5.200521,2.063942,-.010490417,.37264824,2.0690951,-.010758638,.13333368,5.7833333,1,102,13.119427,-1.7749786
2003:01:00,5.8333335,183.23334,1.25,1.13,1.24,158.25,494468,2003q1,1.0292237,5.2107606,4.0958405,2.0318985,1.6360283,4.1168947,2.0477996,-.033333302,5.8166666,0,103,13.111238,-3.2756805
2003:02:00,6.1333332,183.39999,1.22,.92000002,1.01,166.0876,497335,2003q2,.090953149,5.2116694,.36354065,-3.7322998,.89745522,.3638126,-3.753082,.29999971,5.8916664,0,103,13.117019,2.3124695
2003:03:00,6.1333332,184.39999,1.01,.94,1.24,161.55,498889,2003q3,.54525632,5.2171073,2.1751404,1.8115997,.62942505,2.1810253,1.8172127,0,5.9916668,0,103,13.120139,1.2481689
2003:04:00,5.8666668,184.8,.98000002,.89999998,1.3099999,175.16,502022,2003q4,.21692471,5.219274,.86669922,-1.3084412,-.31728745,.86769885,-1.3133264,-.26666641,5.9916668,1,103,13.126399,2.5039673
2004:01:00,5.6666665,186.56667,1,.94,1.1900001,182.61,507510,2004q1,.95598626,5.2287889,3.8059235,2.9392242,-1.0574341,3.823945,2.9562461,-.20000029,5.9499998,0,104,13.137272,4.3491364
2004:02:00,5.5666666,188.60001,1.03,1.27,2.1199999,182.79089,505843,2004q2,1.0898734,5.2396283,4.3357849,.52986145,.64644814,4.3594937,.53554869,-.099999905,5.8083334,0,104,13.133982,-1.3160706
2004:03:00,5.4333334,189.36667,1.61,1.65,2.1199999,179.37,504948.91,2004q3,.40650189,5.2436852,1.6227722,-2.7130127,.48317909,1.6260076,-2.7334862,-.13333321,5.6333332,0,104,13.132213,-.70762634
2004:04:00,5.4333334,191.03334,2.1600001,2.1900001,2.6700001,192.9214,505073.69,2004q4,.8801294,5.2524481,3.5051346,1.8823624,1.4420986,3.5205176,1.89451,0,5.5250001,1,104,13.13246,.098800659
2005:01:00,5.2666669,192.16667,2.6300001,2.74,3.3,190.42999,508505.5,2005q1,.59326363,5.2583632,2.366066,-1.1390686,1.1546135,2.3730545,-1.1474631,-.16666651,5.4250002,0,105,13.139232,2.7088165
